Indices with the equal value of the average in the column
Column 1 | average = 0.492583: 
Column 2 | average = 0.498792: 
Column 3 | average = 0.497286: 
Column 4 | average = 0.496446: 
Column 5 | average = 0.496161: 
Column 6 | average = 0.494074: 
Column 7 | average = 0.497074: 
Column 8 | average = 0.496962: 
Column 9 | average = 0.496456: 
Column 10 | average = 0.497596: 
Column 11 | average = 0.495253: 
Column 12 | average = 0.493965: 
Column 13 | average = 0.491529: 
Column 14 | average = 0.495307: 
Column 15 | average = 0.497158: 
Column 16 | average = 0.494179: 
Column 17 | average = 0.494663: 
Column 18 | average = 0.496066: 
Column 19 | average = 0.497808: 
Column 20 | average = 0.495580: 
Column 21 | average = 0.494364: 
Column 22 | average = 0.495990: 
Column 23 | average = 0.492634: 
Column 24 | average = 0.492978: 
Column 25 | average = 0.493993: 
Column 26 | average = 0.498498: 
Column 27 | average = 0.492183: 
Column 28 | average = 0.491771: 
Column 29 | average = 0.493914: 
Column 30 | average = 0.497320: 
Column 31 | average = 0.496816: 
Column 32 | average = 0.493718: 
Column 33 | average = 0.495151: 
Column 34 | average = 0.490496: 28, 64, 205, 257, 280, 364, 405, 406, 520, 562, 601, 717, 728, 762, 815, 1051, 1186, 1284, 1306, 1344, 1482, 1677, 1979, 2157, 2465, 2534, 2602, 2607, 2720, 2761, 2771, 2932, 3038, 3104, 3371, 3410, 3516, 3634, 3751, 3760, 3830, 3965, 4060, 4193, 4214, 4354, 4438, 4643, 4740, 4818, 4844, 4898, 5020, 5094, 5217, 5423, 5458, 5523, 5559, 5893, 5897, 5965, 6101, 6275, 6431, 6433, 6451, 6460, 6631, 6796, 6810, 6841, 6845, 6906, 7025, 7108, 7169, 7255, 7379, 7418, 7529, 7570, 7614, 7865, 7919, 7945, 8107, 8184, 8311, 8334, 8410, 8422, 8610, 8812, 8858, 8889, 8926, 9213, 9263, 9346, 9386, 9475, 9960, 
Column 35 | average = 0.496624: 
Column 36 | average = 0.490844: 102, 230, 417, 605, 639, 716, 886, 897, 898, 989, 1188, 1209, 1309, 1389, 1390, 1399, 1583, 1592, 1610, 1698, 1719, 1760, 1779, 1821, 2000, 2305, 2349, 2503, 2505, 2541, 2610, 2644, 2841, 2863, 2878, 3159, 3250, 3371, 3451, 3479, 3488, 3602, 3640, 3740, 3857, 3962, 4128, 4150, 4214, 4280, 4547, 4550, 4560, 4573, 4758, 4763, 4773, 4833, 4842, 4872, 4874, 4980, 5061, 5066, 5197, 5359, 5444, 5465, 5545, 5702, 5738, 5739, 5779, 5974, 6175, 6195, 6306, 6408, 6510, 6613, 7005, 7249, 7558, 7634, 7723, 7951, 7994, 8004, 8726, 8740, 8914, 8921, 8963, 9004, 9121, 9200, 9435, 9475, 9487, 9502, 9596, 9611, 9834, 9851, 9975, 9985, 9999, 
Column 37 | average = 0.492510: 
Column 38 | average = 0.495150: 
Column 39 | average = 0.498366: 
Column 40 | average = 0.494218: 
Column 41 | average = 0.495266: 
Column 42 | average = 0.494037: 
Column 43 | average = 0.490553: 0, 85, 175, 187, 406, 652, 698, 888, 901, 1047, 1105, 1195, 1268, 1281, 1324, 1400, 1514, 1539, 1586, 1709, 1803, 1882, 1986, 2292, 2365, 2478, 2530, 2618, 2650, 2660, 2871, 2960, 3013, 3061, 3328, 3343, 3448, 3545, 3583, 3586, 3742, 3756, 3845, 3866, 3902, 3937, 4014, 4130, 4200, 4205, 4251, 4291, 4294, 4390, 4391, 4502, 4504, 4565, 4574, 4648, 4687, 4718, 4874, 4998, 5128, 5151, 5175, 5360, 5535, 5748, 5760, 5774, 6194, 6200, 6225, 6411, 6435, 6472, 6498, 6592, 6647, 6683, 7014, 7099, 7171, 7191, 7209, 7337, 7369, 7662, 7672, 7808, 7874, 7928, 7950, 8103, 8360, 8476, 8513, 8527, 8564, 8659, 8661, 8787, 8801, 8949, 8970, 8985, 8997, 9004, 9042, 9201, 9221, 9255, 9265, 9611, 9869, 9910, 9923, 9975, 
Column 44 | average = 0.489951: 
Column 45 | average = 0.489494: 
Column 46 | average = 0.495458: 
Column 47 | average = 0.490161: 187, 395, 626, 729, 783, 1040, 1052, 1178, 1531, 1670, 1780, 2349, 2356, 2475, 2607, 2668, 2770, 2887, 2914, 2926, 3032, 3059, 3102, 3181, 3337, 3540, 3550, 3684, 3756, 3882, 4096, 4260, 4302, 4332, 4345, 4891, 4931, 5157, 5277, 5510, 5565, 5567, 6028, 6358, 6361, 6369, 6426, 6665, 6739, 6789, 6972, 6988, 7219, 7326, 7389, 7930, 7983, 7985, 8098, 8112, 8254, 8498, 8630, 8700, 8859, 9043, 9139, 9152, 9348, 9353, 9367, 9551, 9666, 9958, 
Column 48 | average = 0.494397: 
Column 49 | average = 0.493228: 
Column 50 | average = 0.492188: 
Column 51 | average = 0.491146: 
Column 52 | average = 0.488528: 
Column 53 | average = 0.494923: 
Column 54 | average = 0.494177: 
Column 55 | average = 0.494039: 
Column 56 | average = 0.489150: 
Column 57 | average = 0.495466: 
Column 58 | average = 0.490961: 235, 279, 359, 444, 686, 777, 968, 1017, 1055, 1225, 1309, 1516, 1530, 1675, 1743, 1779, 2004, 2050, 2223, 2227, 2777, 2844, 3011, 3247, 3837, 3978, 3993, 4155, 4165, 4186, 4456, 4479, 4506, 4839, 4920, 4966, 5010, 5037, 5063, 5173, 5210, 5271, 5359, 5368, 5506, 5543, 5551, 5566, 5660, 5688, 5693, 6138, 6290, 6348, 6499, 6613, 6718, 6734, 6840, 6895, 7391, 7545, 7660, 7900, 8004, 8017, 8180, 8297, 8298, 8371, 8485, 8583, 8670, 8777, 8781, 8799, 8832, 8992, 9015, 9041, 9236, 9286, 9508, 9618, 9734, 9748, 9801, 9848, 9910, 
Column 59 | average = 0.494524: 
Column 60 | average = 0.490670: 190, 290, 422, 545, 572, 1133, 1258, 1283, 1516, 1532, 1553, 1593, 1706, 1711, 1715, 1783, 2138, 2213, 2474, 2550, 2702, 2759, 2769, 2796, 2798, 2925, 2954, 2971, 3243, 3284, 3403, 3583, 3659, 3746, 3761, 3921, 3929, 4002, 4071, 4184, 4212, 4265, 4297, 4485, 4808, 5151, 5223, 5266, 5269, 5395, 5536, 5642, 5774, 5963, 5997, 6110, 6141, 6235, 6353, 6391, 6439, 6551, 6717, 6761, 6866, 6907, 6923, 6994, 7046, 7067, 7414, 7421, 7424, 7638, 7699, 7883, 7905, 8019, 8107, 8223, 8271, 8333, 8551, 8732, 8756, 8854, 8969, 9280, 9423, 9478, 9480, 9668, 9709, 9728, 9792, 9795, 9870, 9930, 9932, 9999, 
Column 61 | average = 0.497575: 
Column 62 | average = 0.495531: 
Column 63 | average = 0.493214: 
Column 64 | average = 0.494150: 
Column 65 | average = 0.496108: 
Column 66 | average = 0.495380: 
Column 67 | average = 0.491640: 
Column 68 | average = 0.496249: 
Column 69 | average = 0.498290: 
Column 70 | average = 0.490581: 79, 83, 85, 261, 342, 357, 539, 574, 578, 614, 620, 673, 753, 885, 925, 1074, 1119, 1150, 1163, 1255, 1429, 1474, 1617, 1648, 1691, 1769, 1882, 1885, 1897, 1899, 1953, 1982, 2522, 2542, 2630, 2635, 2650, 2680, 2714, 2729, 2742, 2899, 2948, 2960, 2979, 3033, 3429, 3451, 3795, 3881, 3891, 3945, 3995, 4005, 4030, 4088, 4100, 4183, 4419, 4454, 4467, 4650, 4707, 4751, 4819, 5008, 5144, 5154, 5177, 5179, 5342, 5344, 5413, 5588, 5726, 5830, 5954, 6001, 6079, 6121, 6155, 6165, 6184, 6220, 6388, 6524, 6555, 6737, 6964, 7149, 7158, 7626, 7627, 7715, 7839, 7888, 7931, 8153, 8260, 8370, 8374, 8755, 8775, 8781, 9048, 9088, 9110, 9133, 9172, 9221, 9350, 9361, 9364, 9417, 9421, 9565, 9607, 9811, 9829, 9966, 
Column 71 | average = 0.496304: 
Column 72 | average = 0.495431: 
Column 73 | average = 0.490774: 31, 116, 210, 417, 430, 448, 475, 584, 591, 625, 646, 985, 1104, 1168, 1413, 1475, 1559, 1564, 2148, 2194, 2635, 2688, 2802, 2809, 2834, 3102, 3117, 3148, 3195, 3303, 3349, 3422, 3428, 3666, 3919, 4113, 4319, 4359, 4403, 4544, 4703, 4757, 4818, 4837, 4948, 4995, 5022, 5250, 5327, 5455, 5817, 5836, 5875, 5968, 6003, 6169, 6396, 6445, 6713, 6806, 6960, 6971, 6983, 7303, 7444, 7725, 7897, 7944, 7980, 8073, 8148, 8281, 8307, 8363, 8463, 8479, 8543, 8591, 8795, 8895, 8915, 8939, 8989, 9143, 9323, 9357, 9614, 9717, 9960, 
Column 74 | average = 0.493775: 
Column 75 | average = 0.496364: 
Column 76 | average = 0.493765: 
Column 77 | average = 0.487289: 
Column 78 | average = 0.488617: 
Column 79 | average = 0.498777: 
Column 80 | average = 0.497156: 
Column 81 | average = 0.495793: 
Column 82 | average = 0.495886: 
Column 83 | average = 0.494051: 
Column 84 | average = 0.496957: 
Column 85 | average = 0.495987: 
Column 86 | average = 0.491529: 
Column 87 | average = 0.497453: 
Column 88 | average = 0.495030: 
Column 89 | average = 0.500576: 134, 345, 426, 530, 533, 534, 678, 725, 889, 1255, 1374, 1398, 1510, 1524, 1582, 1605, 1661, 1666, 1725, 1731, 1760, 1861, 2147, 2308, 2397, 2415, 2498, 2816, 2819, 2853, 2967, 3041, 3081, 3192, 3211, 3262, 3268, 3331, 3337, 3385, 3409, 3422, 3771, 3870, 3955, 3993, 4052, 4290, 4763, 4858, 4923, 4927, 5013, 5174, 5206, 5252, 5556, 5602, 5672, 5797, 6038, 6150, 6424, 6431, 6432, 6519, 6598, 6601, 6745, 6761, 7057, 7069, 7124, 7451, 7513, 7920, 8022, 8037, 8075, 8178, 8226, 8326, 8529, 8650, 8701, 8702, 8705, 8787, 8902, 9168, 9251, 9313, 9351, 9404, 9552, 9712, 9721, 9770, 9783, 9990, 
Column 90 | average = 0.496994: 
Column 91 | average = 0.498919: 
Column 92 | average = 0.491406: 
Column 93 | average = 0.495109: 
Column 94 | average = 0.491630: 
Column 95 | average = 0.494511: 
Column 96 | average = 0.498826: 
Column 97 | average = 0.493153: 
Column 98 | average = 0.494300: 
Column 99 | average = 0.493494: 
Column 100 | average = 0.493235: 
Column 101 | average = 0.492561: 
Column 102 | average = 0.495924: 
Column 103 | average = 0.493634: 
Column 104 | average = 0.492891: 
Column 105 | average = 0.493834: 
Column 106 | average = 0.496339: 
Column 107 | average = 0.496961: 
Column 108 | average = 0.490620: 21, 86, 204, 500, 764, 832, 919, 1085, 1141, 1313, 1405, 1497, 1698, 1712, 1872, 2006, 2059, 2067, 2215, 2301, 2320, 2373, 2400, 2482, 2573, 2920, 2985, 3191, 3266, 3579, 3585, 4138, 4208, 4258, 4341, 4486, 4698, 4707, 4712, 4829, 4843, 4854, 4900, 4906, 4963, 4992, 5064, 5066, 5099, 5519, 5530, 5612, 5654, 5700, 5734, 5768, 5787, 6023, 6249, 6468, 6489, 6596, 6705, 6816, 6820, 6885, 6888, 6928, 6946, 7009, 7029, 7073, 7147, 7206, 7233, 7284, 7374, 7389, 7577, 7614, 7644, 7647, 7672, 7686, 7854, 7902, 7947, 7992, 8102, 8156, 8210, 8321, 8497, 8641, 8768, 8876, 8924, 9047, 9113, 9130, 9150, 9205, 9266, 9269, 9745, 9824, 9953, 
Column 109 | average = 0.494460: 
Column 110 | average = 0.495476: 
Column 111 | average = 0.498727: 
Column 112 | average = 0.497356: 
Column 113 | average = 0.493927: 
Column 114 | average = 0.495059: 
Column 115 | average = 0.491152: 
Column 116 | average = 0.498695: 
Column 117 | average = 0.493910: 
Column 118 | average = 0.495142: 
Column 119 | average = 0.492699: 
Column 120 | average = 0.498226: 
Column 121 | average = 0.492511: 
Column 122 | average = 0.493939: 
Column 123 | average = 0.495071: 
Column 124 | average = 0.492319: 
Column 125 | average = 0.494179: 
Column 126 | average = 0.499733: 
Column 127 | average = 0.496312: 
Column 128 | average = 0.494731: 
Column 129 | average = 0.499647: 
Column 130 | average = 0.495296: 
Column 131 | average = 0.493735: 
Column 132 | average = 0.496531: 
Column 133 | average = 0.494888: 
Column 134 | average = 0.497875: 
Column 135 | average = 0.494718: 
Column 136 | average = 0.502844: 
Column 137 | average = 0.496046: 
Column 138 | average = 0.494263: 
Column 139 | average = 0.494749: 
Column 140 | average = 0.495385: 
Column 141 | average = 0.497674: 
Column 142 | average = 0.497075: 
Column 143 | average = 0.498292: 
Column 144 | average = 0.495135: 
Column 145 | average = 0.493497: 
Column 146 | average = 0.496377: 
Column 147 | average = 0.498529: 
Column 148 | average = 0.496346: 
Column 149 | average = 0.494256: 
Column 150 | average = 0.496069: 
Column 151 | average = 0.493843: 
Column 152 | average = 0.501831: 
Column 153 | average = 0.496239: 
Column 154 | average = 0.494927: 
Column 155 | average = 0.501262: 
Column 156 | average = 0.496165: 
Column 157 | average = 0.495065: 
Column 158 | average = 0.492227: 
Column 159 | average = 0.493556: 
Column 160 | average = 0.496331: 
Column 161 | average = 0.495633: 
Column 162 | average = 0.487721: 
Column 163 | average = 0.492366: 
Column 164 | average = 0.493704: 
Column 165 | average = 0.495124: 
Column 166 | average = 0.495741: 
Column 167 | average = 0.498941: 
Column 168 | average = 0.495160: 
Column 169 | average = 0.492663: 
Column 170 | average = 0.494562: 
Column 171 | average = 0.493979: 
Column 172 | average = 0.492857: 
Column 173 | average = 0.496362: 
Column 174 | average = 0.496801: 
Column 175 | average = 0.498768: 
Column 176 | average = 0.496994: 
Column 177 | average = 0.494230: 
Column 178 | average = 0.495562: 
Column 179 | average = 0.495972: 
Column 180 | average = 0.493379: 
Column 181 | average = 0.493876: 
Column 182 | average = 0.493394: 
Column 183 | average = 0.496402: 
Column 184 | average = 0.492709: 
Column 185 | average = 0.496893: 
Column 186 | average = 0.489720: 
Column 187 | average = 0.495003: 
Column 188 | average = 0.494884: 
Column 189 | average = 0.496066: 
Column 190 | average = 0.494631: 
Column 191 | average = 0.495367: 
Column 192 | average = 0.494041: 
Column 193 | average = 0.497690: 
Column 194 | average = 0.495347: 
Column 195 | average = 0.493610: 
Column 196 | average = 0.490597: 25, 80, 107, 134, 137, 374, 442, 526, 575, 622, 637, 665, 688, 1037, 1172, 1380, 1400, 1467, 1520, 1768, 1947, 1952, 1969, 1991, 2095, 2255, 2479, 2665, 2721, 3085, 3705, 3812, 3817, 3825, 3923, 3987, 3992, 4108, 4275, 4544, 4554, 4805, 5044, 5146, 5312, 5433, 5509, 5534, 5766, 5767, 5816, 5820, 5823, 5903, 5934, 6225, 6302, 6333, 6478, 6499, 6687, 6794, 6819, 6869, 7034, 7083, 7197, 7327, 7426, 7458, 7519, 7560, 7646, 7712, 7713, 7795, 7834, 7855, 7938, 8012, 8195, 8307, 8322, 8366, 8470, 8508, 8587, 8637, 8645, 8762, 8923, 9112, 9163, 9375, 9383, 9738, 9752, 9844, 9882, 9901, 9938, 9984, 
Column 197 | average = 0.500695: 27, 77, 103, 137, 149, 152, 220, 281, 286, 391, 453, 493, 557, 723, 782, 877, 896, 897, 1116, 1203, 1346, 1421, 1466, 1484, 1761, 1928, 1996, 2593, 2658, 2715, 2739, 2801, 2928, 3110, 3281, 3438, 3510, 3795, 4107, 4343, 4462, 4468, 4588, 4634, 4908, 5094, 5136, 5160, 5391, 5664, 5744, 5821, 5840, 5845, 5943, 6535, 6564, 6597, 6605, 6676, 6677, 6822, 6946, 6956, 6976, 6989, 7045, 7119, 7147, 7167, 7172, 7236, 7385, 7400, 7419, 7478, 7483, 7602, 7617, 7630, 7754, 7830, 7871, 7949, 8189, 8225, 8235, 8278, 8706, 8747, 8763, 8799, 8828, 8853, 8941, 9280, 9305, 9327, 9333, 9548, 9719, 9881, 
Column 198 | average = 0.497251: 
Column 199 | average = 0.492679: 
Column 200 | average = 0.494236: 
Column 201 | average = 0.492915: 
Column 202 | average = 0.495493: 
Column 203 | average = 0.496971: 
Column 204 | average = 0.489112: 
Column 205 | average = 0.497623: 
Column 206 | average = 0.494838: 
Column 207 | average = 0.493171: 
Column 208 | average = 0.495520: 
Column 209 | average = 0.496078: 
Column 210 | average = 0.497211: 
Column 211 | average = 0.494163: 
Column 212 | average = 0.496371: 
Column 213 | average = 0.498795: 
Column 214 | average = 0.491561: 
Column 215 | average = 0.497435: 
Column 216 | average = 0.495318: 
Column 217 | average = 0.496385: 
Column 218 | average = 0.498575: 
Column 219 | average = 0.494549: 
Column 220 | average = 0.489265: 
Column 221 | average = 0.498538: 
Column 222 | average = 0.495607: 
Column 223 | average = 0.493590: 
Column 224 | average = 0.495740: 
Column 225 | average = 0.497083: 
Column 226 | average = 0.498078: 
Column 227 | average = 0.494947: 
Column 228 | average = 0.491099: 
Column 229 | average = 0.492067: 
Column 230 | average = 0.495056: 
Column 231 | average = 0.498563: 
Column 232 | average = 0.497308: 
Column 233 | average = 0.492384: 
Column 234 | average = 0.495505: 
Column 235 | average = 0.494253: 
Column 236 | average = 0.491956: 
Column 237 | average = 0.494854: 
Column 238 | average = 0.497705: 
Column 239 | average = 0.495871: 
Column 240 | average = 0.492556: 
Column 241 | average = 0.497744: 
Column 242 | average = 0.495355: 
Column 243 | average = 0.492608: 
Column 244 | average = 0.497573: 
Column 245 | average = 0.495946: 
Column 246 | average = 0.493901: 
Column 247 | average = 0.493160: 
Column 248 | average = 0.497578: 
Column 249 | average = 0.492537: 
Column 250 | average = 0.494903: 
Column 251 | average = 0.498478: 
Column 252 | average = 0.496537: 
Column 253 | average = 0.501390: 
Column 254 | average = 0.495264: 
Column 255 | average = 0.493937: 
Column 256 | average = 0.498663: 
Column 257 | average = 0.496719: 
Column 258 | average = 0.494401: 
Column 259 | average = 0.492301: 
Column 260 | average = 0.492407: 
Column 261 | average = 0.490904: 26, 315, 326, 538, 564, 644, 750, 806, 985, 1100, 1252, 1652, 1977, 1997, 2003, 2070, 2189, 2225, 2272, 2499, 2607, 2648, 2809, 2888, 3011, 3041, 3119, 3214, 3297, 3306, 3386, 3572, 3608, 3780, 4063, 4185, 4315, 4698, 4960, 5023, 5266, 5476, 5811, 5911, 6101, 6190, 6197, 6525, 6620, 6845, 6930, 6953, 7120, 7144, 7341, 7383, 7387, 7461, 7515, 7553, 7601, 7630, 7664, 7715, 7776, 7807, 7832, 7911, 8163, 8320, 8559, 8588, 8724, 8760, 8825, 8929, 8974, 8985, 9169, 9382, 9553, 9857, 9943, 
Column 262 | average = 0.496801: 
Column 263 | average = 0.494934: 
Column 264 | average = 0.496653: 
Column 265 | average = 0.495769: 
Column 266 | average = 0.494600: 
Column 267 | average = 0.499822: 
Column 268 | average = 0.496003: 
Column 269 | average = 0.497659: 
Column 270 | average = 0.498636: 
Column 271 | average = 0.496792: 
Column 272 | average = 0.492043: 
